player,team,salary,league
N'Faly Dante,Atlanta Hawks,2048494,NBA
Tyler Smith,Milwaukee Bucks,1955377,NBA
Ariel Hukporti,New York Knicks,1955377,NBA
Karlo Matković,New Orleans Pelicans,1955377,NBA
Johnny Furphy,Indiana Pacers,1955377,NBA
Jonathan Mogbo,Toronto Raptors,1955377,NBA
Keshad Johnson,Miami Heat,1955377,NBA
Oso Ighodaro,Phoenix Suns,1955377,NBA
Quinten Post,Golden State Warriors,1955377,NBA
Isaac Jones,Detroit Pistons,1955377,NBA
Bobi Klintman,Detroit Pistons,1955377,NBA
Drew Timme,Brooklyn Nets,1955377,NBA
Jamal Shead,Toronto Raptors,1955377,NBA
Cam Christie,Los Angeles Clippers,1955377,NBA
Jaylen Wells,Memphis Grizzlies,1955377,NBA
Bronny James,Los Angeles Lakers,1955377,NBA
Jamison Battle,Toronto Raptors,1955377,NBA
Adem Bona,Philadelphia 76ers,1955377,NBA
Pelle Larsson,Miami Heat,1955377,NBA
Seth Curry,Golden State Warriors,1755198,NBA
Micah Potter,Indiana Pacers,1527805,NBA
Chaz Lanier,Detroit Pistons,1372870,NBA
Micah Peavy,New Orleans Pelicans,1272870,NBA
Adou Thiero,Los Angeles Lakers,1272870,NBA
Rasheer Fleming,Phoenix Suns,1272870,NBA
Maxime Raynaud,Sacramento Kings,1272870,NBA
Johni Broome,Philadelphia 76ers,1272870,NBA
Noah Penda,Orlando Magic,1272870,NBA
Will Richard,Golden State Warriors,1272870,NBA
Tyrese Proctor,Cleveland Cavaliers,1272870,NBA
Mohamed Diawara,New York Knicks,1272870,NBA
Kam Jones,Indiana Pacers,1272870,NBA
Nikola Djurisic,Atlanta Hawks,1272870,NBA
James Wiseman,Indiana Pacers,1131970,NBA
Olivier-Maxence Prosper,Dallas Mavericks,1002360,NBA
Pat Spencer,Golden State Warriors,857804,NBA
Bryce McGowens,New Orleans Pelicans,724598,NBA
Jabari Walker,Philadelphia 76ers,724598,NBA
Nae'Qwan Tomlin,Cleveland Cavaliers,718150,NBA
Cameron Payne,Philadelphia 76ers,712637,NBA
Jordan Miller,Los Angeles Clippers,712637,NBA
E.J. Liddell,Phoenix Suns,706898,NBA
Caleb Houstan,Atlanta Hawks,699440,NBA
Sidy Cissoko,Portland Trail Blazers,686243,NBA
Vasilije Micić,Milwaukee Bucks,666667,NBA
Spencer Jones,Denver Nuggets,623967,NBA
Amari Williams,Boston Celtics,490128,NBA
Kobe Sanders,Los Angeles Clippers,475497,NBA
Mamadi Diakite,Memphis Grizzlies,464050,NBA
Mo Bamba,Toronto Raptors,458711,NBA
Garrison Mathews,Indiana Pacers,429325,NBA
Ricky Rubio,Cleveland Cavaliers,424672,NBA
Myron Gardner,Miami Heat,395029,NBA
Monte Morris,Indiana Pacers,321184,NBA
Didi Louzada,Portland Trail Blazers,268032,NBA
Christian Koloko,Memphis Grizzlies,263940,NBA
Killian Hayes,Sacramento Kings,263940,NBA
Dalano Banton,Los Angeles Clippers,263940,NBA
Charles Bassey,Philadelphia 76ers,263940,NBA
Patrick Baldwin Jr.,Philadelphia 76ers,263940,NBA
Mac McClung,Indiana Pacers,164060,NBA
Skal Labissière,Washington Wizards,131970,NBA
Alondes Williams,Washington Wizards,131970,NBA
Jeremiah Robinson-Earl,Indiana Pacers,131970,NBA
Lawson Lovering,Memphis Grizzlies,87784,NBA
Malachi Smith,Brooklyn Nets,73153,NBA
Kadary Richmond,Washington Wizards,73153,NBA
Keshon Gilbert,Washington Wizards,73153,NBA
Gabe McGlothan,Indiana Pacers,73153,NBA
Grant Nelson,Brooklyn Nets,73153,NBA
John Tonje,Boston Celtics,73153,NBA
Jaden Springer,New Orleans Pelicans,70732,NBA
