Team,Team_Code,Player_Name,Position,Salary,Salary_Amount
Atlanta Dream,ATL,Kamiah Smalls,G,"$3,887",3887.0
Dallas Wings,DAL,Grace Berger,G,"$3,887",3887.0
Connecticut Sun,CON,Mamignan Touré,F,"$3,887",3887.0
Indiana Fever,IND,Chloe Bibby,F,"$3,887",3887.0
Indiana Fever,IND,Kyra Lambert,G,"$3,887",3887.0
Dallas Wings,DAL,Amy Okonkwo,F,"$2,915",2915.0
Dallas Wings,DAL,Ajae Petty,F,"$2,915",2915.0
Indiana Fever,IND,Shey Peddy,G,"$1,987",1987.0
Los Angeles Sparks,LA,Grace Berger,G,"$1,666",1666.0
Dallas Wings,DAL,Ajae Petty,F,"$1,250",1250.0
Atlanta Dream,ATL,Brittney Griner,C,"($214,466)",0.0
Phoenix Mercury,PHX,Kahleah Copper,G,"($248,134)",0.0
Phoenix Mercury,PHX,Alyssa Thomas,F,"($215,000)",0.0
Phoenix Mercury,PHX,Satou Sabally,F,"($215,000)",0.0
Atlanta Dream,ATL,Nia Coffey,F,"($150,000)",0.0
Atlanta Dream,ATL,Shatori Walker-Kimbrough,G,"($150,000)",0.0
Atlanta Dream,ATL,Jordin Canada,G,"($190,000)",0.0
Atlanta Dream,ATL,Allisha Gray,G,"($190,000)",0.0
Atlanta Dream,ATL,Naz Hillmon,F,"($80,823)",0.0
Atlanta Dream,ATL,Brionna Jones,C,"($214,466)",0.0
Seattle Storm,SEA,Ezi Magbegor,C,"($186,000)",0.0
Seattle Storm,SEA,Nneka Ogwumike,F,"($195,000)",0.0
Seattle Storm,SEA,Brittney Sykes,G,"($195,000)",0.0
Seattle Storm,SEA,Skylar Diggins-Smith,G,"($214,466)",0.0
Phoenix Mercury,PHX,Kalani Brown,C,"($128,750)",0.0
Phoenix Mercury,PHX,Kitija Laksa,G,"($80,000)",0.0
Phoenix Mercury,PHX,Space,N/A,N/A,0.0
Atlanta Dream,ATL,Rhyne Howard,G,"($91,981)",0.0
Washington Mystics,WAS,Shakira Austin,C,"($91,981)",0.0
Atlanta Dream,ATL,Space,N/A,N/A,0.0
Minnesota Lynx,MIN,Space,N/A,N/A,0.0
Las Vegas Aces,LV,Jackie Young,G,"($169,950)",0.0
Las Vegas Aces,LV,Chelsea Gray,G,"($196,267)",0.0
Las Vegas Aces,LV,A'ja Wilson,C,"($200,000)",0.0
Las Vegas Aces,LV,Jewell Loyd,G,"($249,032)",0.0
Indiana Fever,IND,Kelsey Mitchell,G,"($249,244)",0.0
Indiana Fever,IND,Natasha Howard,F,"($214,466)",0.0
Golden State Valkyries,GS,Maria Conde,F,N/A,0.0
Golden State Valkyries,GS,Monique Billings,F,"($110,000)",0.0
Indiana Fever,IND,Damiris Dantas,F,"($100,000)",0.0
New York Liberty,NY,Jonquel Jones,F,"($195,000)",0.0
New York Liberty,NY,Natasha Cloud,G,"($200,000)",0.0
New York Liberty,NY,Betnijah Laney,G,"($185,400)",0.0
Dallas Wings,DAL,Christyn Williams,G,N/A,0.0
Dallas Wings,DAL,Myisha Hines-Allen,F,"($203,000)",0.0
Dallas Wings,DAL,Arike Ogunbowale,G,"($249,032)",0.0
Las Vegas Aces,LV,Kiah Stokes,C,"($103,000)",0.0
Las Vegas Aces,LV,NaLyssa Smith,F,"($62,613)",0.0
Las Vegas Aces,LV,Dana Evans,G,"($89,000)",0.0
Las Vegas Aces,LV,Kierstan Bell,G,"($84,543)",0.0
Minnesota Lynx,MIN,Natisha Hiedeman,G,"($135,000)",0.0
Minnesota Lynx,MIN,Alanna Smith,F,"($150,000)",0.0
Minnesota Lynx,MIN,Courtney Williams,G,"($180,000)",0.0
Minnesota Lynx,MIN,DiJonai Carrington,G,"($200,000)",0.0
Minnesota Lynx,MIN,Kayla McBride,G,"($205,000)",0.0
Chicago Sky,CHI,Ariel Atkins,G,"($200,000)",0.0
Chicago Sky,CHI,Rebecca Allen,G,"($160,000)",0.0
Chicago Sky,CHI,Rachel Banham,G,"($95,000)",0.0
Los Angeles Sparks,LA,Azurá Stevens,F,"($195,000)",0.0
Los Angeles Sparks,LA,Dearica Hamby,F,"($202,000)",0.0
Washington Mystics,WAS,Stefanie Dolson,C,"($170,000)",0.0
Connecticut Sun,CON,Marina Mabrey,G,"($210,000)",0.0
Connecticut Sun,CON,Tina Charles,C,"($170,000)",0.0
Seattle Storm,SEA,Lexie Brown,G,"($96,408)",0.0
Dallas Wings,DAL,Space,N/A,"$-11,804",-11804.0
Las Vegas Aces,LV,Space,N/A,"$-23,646",-23646.0
